month,date,open,high,low,close,volume,shares_bought,total_shares,total_invested,portfolio_value
2003-08,2003-08-01,1476.47,1478.359,1464.978,1476.969,629808600,0.6770622809280357,237.052989329687,153000,350119.9165972785
2003-09,2003-09-01,1423.353,1450.041,1420.123,1449.816,898975000,0.6897426983837949,237.74273202807078,154000,344683.2167780095
2003-10,2003-10-08,1366.201,1373.081,1359.497,1371.685,432480500,0.7290303531787546,238.47176238124953,155000,327108.13938192424
2003-11,2003-11-03,1346.481,1367.336,1339.958,1364.055,1053793000,0.7331082690947213,239.20487065034425,156000,326288.59983495536
2003-12,2003-12-01,1398.706,1432.821,1398.706,1432.703,1813416700,0.6979813680853604,239.9028520184296,157000,343709.53579536016
2004-01,2004-01-02,1492.724,1526.244,1491.694,1517.193,1668052800,0.6591119257734513,240.56196394420306,158000,364978.9277623973
2004-02,2004-02-02,1630.654,1650.291,1585.958,1623.88,3458830000,0.6158090499297977,241.17777299413285,159000,391643.76200971246
2004-03,2004-03-01,1676.222,1690.07,1661.339,1689.76,1999017800,0.5918000189376006,241.76957301307044,160000,408532.5536945659
2004-04,2004-04-01,1744.709,1758.982,1741.33,1758.147,1796814600,0.5687806537223565,242.33835366679278,161000,426066.4494842107
2004-05,2004-05-10,1600.626,1603.074,1555.26,1560.215,818091400,0.6409373067173435,242.97929097351013,162000,379099.9344662351
2004-06,2004-06-01,1555.562,1579.82,1553.118,1579.658,1299153100,0.6330484193414018,243.61233939285154,163000,384824.1808206331
2004-07,2004-07-01,1398.198,1445.102,1396.347,1441.068,1382216700,0.6939297798577166,244.30626917270925,164000,352061.94670417777
2004-08,2004-08-02,1381.877,1383.077,1370.499,1373.217,698313600,0.7282170261510016,245.03448619886026,165000,336485.5220345403
2004-09,2004-09-01,1340.75,1340.771,1319.862,1321.462,624639400,0.756737613340376,245.79122381220063,166000,324803.7622013183
2004-10,2004-10-08,1395.669,1423.204,1373.928,1422.929,1381398400,0.702775753393177,246.4939995655938,167000,350743.4603078709
2004-11,2004-11-01,1317.658,1323.101,1304.294,1305.291,1196191500,0.7661126905801082,247.26011225617393,168000,322746.3991869735
